Bike Name,Rating,Ratings Count,Engine CC,Mileage (kmpl),Power (bhp),Weight (kg),Price (₹),Value Score,Popularity Score,Price per BHP
TVS Raider 125,4.4,2958.0,124.8,56.7,11.2,123.0,86397,288.76002638980526,13015.2,7714.017857142858
Bajaj Pulsar N160 2V,4.6,1279.0,164.82,51.6,15.68,152.0,122990,192.99130010569965,5883.4,7843.75
TVS Apache RTR 160,4.5,3351.0,159.7,61.0,15.82,138.0,110781,247.7861727191486,15079.5,7002.591656131479
Honda SP 125,4.6,4551.0,123.94,63.0,10.72,117.0,90636,319.740500463392,20934.6,8454.850746268656
Royal Enfield Hunter 350,4.7,1796.0,349.34,36.2,20.2,181.0,137640,123.61232199941878,8441.2,6813.861386138614
Royal Enfield Classic 350,4.6,50.0,349.0,34.0,20.2,195.0,187434,83.44270516555159,229.99999999999997,9278.91089108911
Royal Enfield Bullet 350,4.7,1577.0,349.0,35.0,20.2,195.0,165656,99.30216834886754,7411.900000000001,8200.79207920792
TVS Ronin,2.5,1.0,225.9,42.0,20.1,160.0,130290,80.58945429426663,2.5,6482.0895522388055
Royal Enfield Himalayan 440,4.6,29.0,443.0,31.0,25.4,199.0,229000,62.2707423580786,133.39999999999998,9015.748031496063
TVS iQube,3.7,882.0,,,,129.7,119565,,3263.4,
Hero Xtreme 125R,4.6,1902.0,124.7,66.0,11.4,136.0,92841,327.0106957055611,8749.199999999999,8143.9473684210525
Jawa All Stars 42 Bobber,4.4,7.0,334.0,30.0,29.51,185.0,210981,62.56487551011702,30.800000000000004,7149.4747543205685
Yamaha MT 15 V2,4.7,1868.0,155.0,47.0,18.1,141.0,166582,132.6073645411869,8779.6,9203.42541436464
Royal Enfield Continental GT 650,4.7,26.0,648.0,22.0,47.0,211.0,358427,28.848273149065225,122.2,7626.106382978724
Yezdi Roadster,4.5,215.0,334.0,30.0,28.7,184.0,201940,66.85154006140438,967.5,7036.23693379791
Yamaha R15 V4,4.8,1547.0,155.0,46.0,18.1,141.0,175692,125.674475787173,7425.599999999999,9706.740331491712
Royal Enfield Meteor 350,4.7,250.0,349.34,32.0,20.2,191.0,199447,75.40850451498393,1175.0,9873.613861386139
TVS Jupiter 125,4.1,937.0,124.8,50.0,8.04,108.0,87469,234.3687477849295,3841.7,10879.228855721394
Royal Enfield Guerrilla 450,4.7,71.0,452.0,28.0,39.47,185.0,251063,52.41712239557402,333.7,6360.856346592349
TVS Jupiter,4.5,1164.0,113.3,53.84,7.91,106.0,77352,313.2174992243252,5238.0,9779.013906447535
Bajaj Pulsar NS400Z,4.5,43.0,349.13,32.0,40.04,176.0,186150,77.3569701853344,193.5,4649.100899100899
TVS Ntorq 125,4.4,2302.0,124.8,48.5,9.25,109.0,90558,235.65008061132093,10128.800000000001,9790.054054054053
Yamaha XSR 155,4.6,276.0,155.0,46.0,18.1,137.0,150957,140.17236696542724,1269.6,8340.165745856353
Honda Activa,4.4,4277.0,109.51,47.0,7.88,105.0,78687,262.81342534344935,18818.800000000003,9985.659898477157
Hero Splendor Plus,4.6,4857.0,97.2,63.0,7.91,112.0,77124,375.7585187490275,22342.199999999997,9750.189633375474
Royal Enfield Himalayan 450,4.7,405.0,451.65,29.0,39.47,195.0,308029,44.24908044372446,1903.5,7804.129718773753
Bajaj Pulsar NS200,4.7,3346.0,199.5,36.0,24.13,158.0,139279,121.48277916986768,15726.2,5772.026523000414
TVS Apache RTR 160 4V,,,159.7,41.4,17.31,146.0,116484,,,6729.289428076257
Honda CB350RS,4.6,256.0,348.36,35.0,20.78,180.0,198333,81.1766070195076,1177.6,9544.4177093359
Ather Konarc,4.8,39.0,,,,129.0,100099,,187.2,
